,0
0,4
1,0
2,4
3,2
4,2
5,2
6,2
7,2
8,1
9,2
10,2
11,2
12,3
13,2
14,2
15,3
16,3
17,3
18,2
19,3
20,0
21,2
22,2
23,3
24,0
25,3
26,3
27,3
28,3
29,3
30,4
31,4
32,2
33,1
34,1
35,1
36,1
37,1
38,1
39,3
