,0
0,0
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,2
9,0
10,2
11,2
12,3
13,2
14,1
15,3
16,3
17,3
18,0
19,3
20,0
21,3
22,3
23,3
24,0
25,3
26,3
27,3
28,3
29,3
30,0
31,0
32,1
33,2
34,2
35,2
36,2
37,2
38,2
39,3
