V1,V2
-0.07982886116450161,0.8020438102030351
-0.17299634592955196,0.45281325117860294
-0.6488187739468464,0.8051734688157831
-0.729706445179903,0.6341901048006089
-0.7174626390687816,0.6671089129153499
-1.1174298536721685,0.5378674219899653
-0.9084418755882223,0.5760731577712762
-1.143869716122705,0.4781982343965134
-1.2341568882495437,0.03299389779813048
-0.4894252371352909,0.17498501889233486
-1.120315790950744,0.14867306656903245
-0.9807978552425055,0.034702184722907446
-0.6327443852129152,-0.170526041664252
-0.8009545250944532,0.039890928218582644
-0.867434994566756,0.3105495020750017
-0.5381292442339932,-0.03228678598457172
-0.3112094644454365,-0.10357184222158632
-0.1347191699188347,-0.37421149374606655
-0.5800507656745079,0.14166957323335969
-0.29106948278551775,-0.08532283248536177
-0.36444128098376655,0.31371511069464586
-0.6803489941994764,8.972386351606657e-4
-0.5853507656237947,0.09197089988161694
-0.6742246988524228,-0.3153031590331195
-0.32546653732886294,0.2182382818750758
-0.6469869799462592,-0.12599885785243106
-0.617192193562866,-0.29251114179238674
-0.19722187994402327,-0.20297304339601233
-0.6893216012000861,-0.0811846021835554
-0.07386587841960413,-0.2588553629955467
-0.23135271716615283,0.8153106873319511
-0.31313330540863027,0.8832903580820405
-0.8816183354213817,0.5897017222074389
-1.972879296718178,-0.895041373077709
-1.2979246906776545,-0.32634420685817905
-1.1487509563558043,-0.2121556118996637
-1.2617755353337112,-0.07145812822216775
-1.237136375541444,0.08401277605422058
-1.2335126198919413,-0.2794406409207167
-0.2581181623078132,-0.130862833071552
