vname,mean
beta.1.0,0.9280018257662568
beta.1.1,0.9632779400458971
beta.2.0,0.9131707416107157
beta.2.1,0.9722424852358383
beta.3.0,0.9486607778699753
beta.3.1,0.946940570429695
beta.4.0,0.966032341783055
beta.4.1,0.8905682625792342
beta.5.0,0.9343306796403037
beta.5.1,0.9573107895002674
beta.6.0,0.9342333634345513
beta.6.1,0.9582734458608657
beta.7.0,0.9486774245978171
beta.7.1,0.9450602769523994
beta.8.0,0.9206090324456812
beta.8.1,0.9091607261718048
beta.9.0,0.9132391656761185
beta.9.1,0.9230260234771879
beta.10.0,0.9341758981088734
beta.10.1,0.7917231542440583
beta.11.0,0.8399850740495558
beta.11.1,0.921035336084608
beta.12.0,0.9557915424719674
beta.12.1,0.9182687800249988
beta.13.0,0.9125635415616178
beta.13.1,0.8529879362395671
beta.14.0,0.8281288053532516
beta.14.1,0.9716682661221409
beta.15.0,0.9458580974540087
beta.15.1,0.9427206179773169
beta.16.0,0.9541624285422523
beta.16.1,0.9537764892968476
beta.17.0,0.9640286372707589
beta.17.1,0.9365523992098185
beta.18.0,0.9617838014322899
beta.18.1,0.8941257526155322
beta.19.0,0.9052611604762419
beta.19.1,0.9653737224638805
beta.20.0,0.9568086935676137
beta.20.1,0.9163237932907595
beta.21.0,0.9634685426931296
beta.21.1,0.9177055559908888
beta.22.0,0.9610828932543733
beta.22.1,0.9083636002101941
beta.23.0,0.9660437190322928
beta.23.1,0.8991652940433392
beta.24.0,0.8049265173725264
beta.24.1,0.928738514787763
beta.25.0,0.913696668173303
beta.25.1,0.9222425154165976
beta.26.0,0.9082217960777224
beta.26.1,0.882778831496368
beta.27.0,0.93427187080113006
beta.27.1,0.7872412618275855
beta.28.0,0.9046055750329651
beta.28.1,0.9307741168391469
beta.29.0,0.9095089740077803
beta.29.1,0.9619399981548705
beta.30.0,0.9557378047039727
beta.30.1,0.9327367118085624
beta.31.0,0.9689910477867076
beta.31.1,0.7985816370373293
beta.32.0,0.9648145837328376
beta.32.1,0.8727625579656969
beta.33.0,0.9442393294491422
beta.33.1,0.9610191721103332
beta.34.0,0.9578984337688
beta.34.1,0.44367931471241495
beta.35.0,0.9417125659169551
beta.35.1,0.8761511181391418
theta.1.0,1.08720101186411
theta.1.1,1.2926859005734148
theta.2.0,1.1831057779356609
theta.2.1,1.2620256857828382
theta.3.0,1.075560195106031
theta.3.1,1.184448006196497
theta.4.0,0.9713324049644269
theta.4.1,1.0424899788726534
theta.5.0,1.1464242708944334
theta.5.1,1.2430098663318938
theta.6.0,0.9431646179180662
theta.6.1,1.0366954838164932
theta.7.0,0.8576725303957382
theta.7.1,0.8406597152817802
theta.8.0,0.9362940351663616
theta.8.1,0.9074648331511559
theta.9.0,1.25394493739046
theta.9.1,1.320220694750191
theta.10.0,1.168717685013345
theta.10.1,0.9367491698834914
theta.11.0,1.083901924221192
theta.11.1,1.2124521705792466
theta.12.0,1.3935265544681754
theta.12.1,1.5913731089632368
theta.13.0,0.2558703380655268
theta.13.1,0.7101743093386894
theta.14.0,1.217066609646227
theta.14.1,1.3123679855701937
theta.15.0,1.6241551455303267
theta.15.1,1.7010410719381983
theta.16.0,0.661326346008459
theta.16.1,0.8117348140771372
theta.17.0,0.9772718083090991
theta.17.1,0.5324880317978434
theta.18.0,0.8943230032410184
theta.18.1,1.087499848829
theta.19.0,2.0417957973694847
theta.19.1,1.939672921831593
theta.20.0,1.0881105318978068
theta.20.1,1.1710917468229347
theta.21.0,1.5436920572711001
theta.21.1,-0.6940881461728369
theta.22.0,1.1062775610002475
theta.22.1,1.1872981189338725
theta.23.0,0.6714475152580538
theta.23.1,0.5917179052700817
theta.24.0,1.1744621450765937
theta.24.1,1.3043348223120397
theta.25.0,0.9188259344911122
theta.25.1,1.0502151087890512
theta.26.0,1.300690244467816
theta.26.1,1.5373391801804197
theta.27.0,1.1637471134913742
theta.27.1,1.1913351323827603
theta.28.0,1.3057179437955984
theta.28.1,1.2862099089876318
theta.29.0,1.1202332441884173
theta.29.1,1.3667046175240412
theta.30.0,1.0457166035569332
theta.30.1,1.0341578903146784
theta.31.0,1.199398596816366
theta.31.1,1.0561759696823436
theta.32.0,1.166639288426333
theta.32.1,1.0947157074387246
theta.33.0,1.0256334471051949
theta.33.1,1.132746050248575
theta.34.0,0.9821215176459429
theta.34.1,0.9939192691667385
theta.35.0,1.180877481735123
theta.35.1,0.813480674044987
theta.36.0,0.7454395983580742
theta.36.1,1.009451318479494
theta.37.0,1.1165793833414377
theta.37.1,1.0215588747470086
theta.38.0,1.3866567402503285
theta.38.1,1.2248635052579364
theta.39.0,1.1475609248191718
theta.39.1,1.0329447248226595
theta.40.0,1.0221586238194629
theta.40.1,1.185214941292024
theta.41.0,1.151794206365008
theta.41.1,1.189151539190238
theta.42.0,1.1220401700620832
theta.42.1,1.3411176009205994
theta.43.0,0.6356996527283634
theta.43.1,0.7758687217876288
theta.44.0,0.89239207539738985
theta.44.1,0.8844692405527707
theta.45.0,0.8993290736396867
theta.45.1,0.9372541162485655
theta.46.0,0.8538420039316977
theta.46.1,0.79080478413277
theta.47.0,1.0155442903388776
theta.47.1,1.1427512982861863
theta.48.0,0.38900289616312544
theta.48.1,0.7473891132228195
theta.49.0,1.0690461027110243
theta.49.1,1.0911462442713304
theta.50.0,0.9289061140029401
theta.50.1,0.9457166503026893
theta.51.0,0.518084297208148
theta.51.1,0.6852366202737822
theta.52.0,2.080895565103472
theta.52.1,-0.3860067509145101
theta.53.0,0.5314353585120141
theta.53.1,0.7813125750481321
theta.54.0,1.0949817994179083
theta.54.1,1.2360443757962476
theta.55.0,0.5827747853978845
theta.55.1,0.8151928650026666
theta.56.0,0.9127757251123586
theta.56.1,0.957433332175292
theta.57.0,0.6846200347434186
theta.57.1,0.8287324691679774
theta.58.0,1.1859646418519738
theta.58.1,1.1767724731275344
theta.59.0,0.8149197635249327
theta.59.1,0.8661064827141073
theta.60.0,1.0789903654514632
theta.60.1,1.0052962251544137
theta.61.0,0.8673629082093256
theta.61.1,1.0331699370598184
theta.62.0,0.775982476180438
theta.62.1,1.0262502054610403
theta.63.0,0.919669492219746
theta.63.1,0.8402289654498638
theta.64.0,1.5024349064136078
theta.64.1,1.612745457874827
theta.65.0,0.8103561132187002
theta.65.1,1.0757789770741284
theta.66.0,0.619715811944988
theta.66.1,0.5578644015760187
theta.67.0,0.5708541186716649
theta.67.1,0.9004925577297823
theta.68.0,1.0836359729986826
theta.68.1,0.9463764382884085
theta.69.0,0.7709812558226815
theta.69.1,0.8102904881631126
theta.70.0,0.6987800359267445
theta.70.1,0.8629175253305025
theta.71.0,0.7136356702045635
theta.71.1,0.7717312494273951
theta.72.0,1.5061989419200699
theta.72.1,1.5105225218302742
theta.73.0,0.7316473521152113
theta.73.1,0.9814435654669791
theta.74.0,0.891445536588413
theta.74.1,1.096773273968035
theta.75.0,1.5535405207259576
theta.75.1,1.2752478039007835
theta.76.0,0.9605821615467296
theta.76.1,1.0442673829874385
theta.77.0,0.7360719800836487
theta.77.1,0.7279850074256383
theta.78.0,0.6318084457531736
