vname,mean
lambda.0.13.5,0.06097112798378756
lambda.0.14.1,0.0016017521649674656
lambda.0.14.2,0.003544372283297435
lambda.0.14.3,0.0031504915729999787
lambda.0.14.4,0.007081246700258843
lambda.0.14.5,0.007189719863416233
lambda.0.15.1,0.001917142605801768
lambda.0.15.2,0.0085121623370601
lambda.0.15.3,0.008220325946544458
lambda.0.15.4,0.006518404868540069
lambda.0.15.5,0.014115308329597875
lambda.0.16.1,0.0021233926906820957
lambda.0.16.2,0.018415131437012212
lambda.0.16.3,0.030424978453248933
lambda.0.16.4,0.03896366877407065
lambda.0.16.5,0.046259508310446514
lambda.0.17.1,0.0029984465415990296
lambda.0.17.2,0.01235291068667948
lambda.0.17.3,0.016793978733606788
lambda.0.17.4,0.029674710192494687
lambda.0.17.5,0.04202509805086538
lambda.0.18.1,0.0036611980141179595
lambda.0.18.2,0.012983613914054455
lambda.0.18.3,0.021008783714313608
lambda.0.18.4,0.031798987440942686
lambda.0.18.5,0.07325234975874725
lambda.0.19.1,0.0018352697545137215
lambda.0.19.2,0.008241915122945089
lambda.0.19.3,0.008857300200869864
lambda.0.19.4,0.013821460171201783
lambda.0.19.5,0.03934311728345313
lambda.0.20.1,0.0033172318476982965
lambda.0.20.2,0.015967212018950017
lambda.0.20.3,0.026427273723648385
lambda.0.20.4,0.03408867986116829
lambda.0.20.5,0.046639273716231076
lambda.0.21.1,0.002789993421985397
lambda.0.21.2,0.010668432535171272
lambda.0.21.3,0.020153800287872226
lambda.0.21.4,0.028725978656224827
lambda.0.21.5,0.04009487768698099
lambda.0.22.1,0.003077090826251449
lambda.0.22.2,0.00952460041755054
lambda.0.22.3,0.01387604213279373
lambda.0.22.4,0.02002893247602117
lambda.0.22.5,0.04183859499786337
lambda.0.23.1,0.0029956119743153415
lambda.0.23.2,0.014887727722027613
lambda.0.23.3,0.02183422314239348
lambda.0.23.4,0.03265550017532377
lambda.0.23.5,0.04297250554746974
lambda.0.24.1,0.001495299891026225
lambda.0.24.2,0.0025138407225512457
lambda.0.24.3,0.005871692775614887
lambda.0.24.4,0.009343994009585105
lambda.0.24.5,0.0046953308818755025
lambda.0.25.1,0.0016457149386685669
lambda.0.25.2,0.007031116300918105
lambda.0.25.3,0.00962828768032317
lambda.0.25.4,0.0145482546847503
lambda.0.25.5,0.016732827912067233
lambda.0.26.1,0.004229873736101463
lambda.0.26.2,0.00845639412495843
lambda.0.26.3,0.01295206541952542
lambda.0.26.4,0.014453888753296009
lambda.0.26.5,0.029790618219123682
lambda.0.27.1,0.004393650782550275
lambda.0.27.2,0.013473243806781696
lambda.0.27.3,0.019445695164587804
lambda.0.27.4,0.0239012409893768
lambda.0.27.5,0.05890413442963656
lambda.0.28.1,0.0032228836813611894
lambda.0.28.2,0.012976133645196479
lambda.0.28.3,0.006645893684296708
lambda.0.28.4,0.014294755448869167
lambda.0.28.5,0.02017025874648714
lambda.0.29.1,0.004193261329076089
lambda.0.29.2,0.013682940078211253
lambda.0.29.3,0.01415410132852085
lambda.0.29.4,0.010346388293187715
lambda.0.29.5,0.054431044618772274
lambda.0.30.1,0.004404256557380876
lambda.0.30.2,0.01630279656419424
lambda.0.30.3,0.021191042209155138
lambda.0.30.4,0.018542577301778038
lambda.0.30.5,0.03886882931226526
lambda.0.31.1,0.004478159382895065
lambda.0.31.2,0.00924393361668225
lambda.0.31.3,0.012688609348157815
